DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
24-Feb-2026,EQ,"2,199.90","2,240.00","2,185.70","2,196.00","2,239.90","2,236.30","2,217.01","2,747.40","2,029.40",444579,"98,56,37,270.50",31753
23-Feb-2026,EQ,"2,197.90","2,211.30","2,190.20","2,197.90","2,201.00","2,196.00","2,198.32","2,747.40","2,029.40",183758,"40,39,58,865.60",22988
20-Feb-2026,EQ,"2,167.20","2,211.80","2,167.20","2,167.20","2,190.10","2,197.90","2,200.88","2,747.40","2,029.40",349127,"76,83,86,765.20",22501
19-Feb-2026,EQ,"2,215.00","2,230.50","2,160.00","2,203.90","2,172.30","2,167.20","2,197.82","2,747.40","2,029.40",409293,"89,95,53,254.60",24742
18-Feb-2026,EQ,"2,159.70","2,207.60","2,148.70","2,151.00","2,205.00","2,203.90","2,186.75","2,747.40","2,029.40",379137,"82,90,79,287.60",23902
17-Feb-2026,EQ,"2,118.60","2,161.00","2,118.60","2,118.60","2,149.00","2,151.00","2,143.39","2,747.40","2,029.40",179259,"38,42,21,737.70",13846
16-Feb-2026,EQ,"2,120.60","2,128.30","2,100.70","2,122.20","2,117.00","2,118.60","2,116.08","2,747.40","2,029.40",154505,"32,69,45,195.90",13166
13-Feb-2026,EQ,"2,128.00","2,130.00","2,100.50","2,138.90","2,115.40","2,122.20","2,119.48","2,747.40","2,029.40",374088,"79,28,72,402.50",22712
12-Feb-2026,EQ,"2,173.40","2,173.40","2,130.00","2,173.40","2,136.00","2,138.90","2,147.27","2,747.40","2,029.40",142131,"30,51,93,654.20",12817
11-Feb-2026,EQ,"2,185.00","2,190.60","2,166.00","2,183.00","2,170.00","2,173.40","2,175.57","2,747.40","2,029.40",149215,"32,46,27,227.90",13579
10-Feb-2026,EQ,"2,155.60","2,194.10","2,135.50","2,155.60","2,187.40","2,183.00","2,159.63","2,747.40","2,029.40",351502,"75,91,13,596.30",22809
09-Feb-2026,EQ,"2,141.00","2,162.10","2,127.30","2,133.20","2,152.00","2,155.60","2,152.83","2,747.40","2,029.40",260857,"56,15,80,704.60",17050
06-Feb-2026,EQ,"2,114.30","2,140.00","2,088.00","2,114.30","2,135.00","2,133.20","2,118.88","2,899.95","2,029.40",233294,"49,43,21,710.60",20161
05-Feb-2026,EQ,"2,116.20","2,152.80","2,111.00","2,116.20","2,111.00","2,114.30","2,128.21","2,899.95","2,029.40",144168,"30,68,19,973.10",13230
04-Feb-2026,EQ,"2,138.70","2,159.90","2,108.90","2,138.70","2,115.00","2,116.20","2,126.58","2,899.95","2,029.40",313947,"66,76,34,021.80",17239
03-Feb-2026,EQ,"2,151.00","2,159.90","2,103.90","2,127.40","2,138.00","2,138.70","2,128.48","2,899.95","2,029.40",506465,"1,07,80,01,866.10",35007
02-Feb-2026,EQ,"2,100.00","2,138.80","2,080.30","2,109.20","2,132.00","2,127.40","2,118.23","2,899.95","2,029.40",244044,"51,69,41,271.80",20365
01-Feb-2026,EQ,"2,114.00","2,125.00","2,069.20","2,114.20","2,096.20","2,109.20","2,103.63","2,975.00","2,029.40",238905,"50,25,68,758.10",11773
30-Jan-2026,EQ,"2,083.00","2,125.00","2,029.40","2,112.70","2,108.00","2,114.20","2,098.70","2,975.00","2,029.40",1227051,"2,57,52,09,801.60",55197
29-Jan-2026,EQ,"2,154.00","2,154.20","2,105.00","2,154.40","2,111.00","2,112.70","2,118.14","2,975.00","2,033.00",395656,"83,80,54,700.20",20791
28-Jan-2026,EQ,"2,146.00","2,159.20","2,120.00","2,153.90","2,153.10","2,154.40","2,139.96","2,975.00","2,033.00",286443,"61,29,77,183.50",18226
27-Jan-2026,EQ,"2,158.00","2,165.90","2,128.00","2,166.30","2,152.50","2,153.90","2,145.65","2,975.00","2,033.00",460915,"98,89,62,826.00",33196
23-Jan-2026,EQ,"2,185.00","2,185.90","2,158.00","2,179.60","2,158.00","2,166.30","2,169.53","2,975.00","2,033.00",342718,"74,35,38,383.90",19537
22-Jan-2026,EQ,"2,123.10","2,184.00","2,120.00","2,123.10","2,179.50","2,179.60","2,168.52","2,975.00","2,033.00",602028,"1,30,55,07,212.60",35661
21-Jan-2026,EQ,"2,109.10","2,132.10","2,087.60","2,113.90","2,127.00","2,123.10","2,113.08","2,975.00","2,033.00",398862,"84,28,28,168.00",36805
20-Jan-2026,EQ,"2,175.00","2,188.10","2,106.40","2,178.00","2,118.80","2,113.90","2,146.99","2,975.00","2,033.00",302491,"64,94,45,071.10",29227
19-Jan-2026,EQ,"2,101.30","2,209.90","2,095.80","2,104.80","2,177.90","2,178.00","2,163.38","2,975.00","2,033.00",1131606,"2,44,80,91,847.60",62340
16-Jan-2026,EQ,"2,092.30","2,110.00","2,088.60","2,092.30","2,107.00","2,104.80","2,102.09","2,975.00","2,033.00",299076,"62,86,85,275.00",33258
14-Jan-2026,EQ,"2,115.00","2,115.00","2,082.70","2,106.70","2,097.80","2,092.30","2,099.05","2,975.00","2,033.00",224914,"47,21,04,785.80",35428
13-Jan-2026,EQ,"2,091.00","2,118.50","2,088.90","2,096.50","2,105.50","2,106.70","2,102.98","2,975.00","2,033.00",324283,"68,19,60,620.90",27590
12-Jan-2026,EQ,"2,042.30","2,112.00","2,042.30","2,056.00","2,099.40","2,096.50","2,077.73","2,975.00","2,033.00",478911,"99,50,46,826.60",37122
09-Jan-2026,EQ,"2,042.30","2,083.80","2,041.80","2,046.60","2,061.00","2,056.00","2,062.84","2,975.00","2,033.00",302010,"62,29,98,275.10",34207
08-Jan-2026,EQ,"2,077.20","2,077.90","2,033.00","2,076.60","2,047.10","2,046.60","2,046.45","2,975.00","2,033.00",398895,"81,63,18,009.20",27295
07-Jan-2026,EQ,"2,089.00","2,103.50","2,061.10","2,089.10","2,075.00","2,076.60","2,077.11","2,975.00","2,051.00",199951,"41,53,19,933.90",18131
06-Jan-2026,EQ,"2,093.00","2,096.50","2,072.80","2,091.30","2,091.50","2,089.10","2,084.30","2,975.00","2,051.00",459339,"95,74,00,921.40",18496
05-Jan-2026,EQ,"2,090.10","2,108.30","2,085.50","2,090.10","2,095.00","2,091.30","2,093.33","2,975.00","2,051.00",734989,"1,53,85,77,659.40",20735
02-Jan-2026,EQ,"2,105.00","2,105.00","2,080.30","2,093.80","2,094.00","2,090.10","2,087.35","2,975.00","2,051.00",157949,"32,96,95,483.80",16035
01-Jan-2026,EQ,"2,086.10","2,100.00","2,079.10","2,075.70","2,094.00","2,093.80","2,090.64","2,975.00","2,051.00",340463,"71,17,84,117.40",19100
31-Dec-2025,EQ,"2,056.40","2,079.70","2,053.10","2,053.40","2,077.10","2,075.70","2,071.24","2,975.00","2,051.00",327024,"67,73,45,298.60",16827
30-Dec-2025,EQ,"2,070.00","2,075.20","2,051.00","2,070.10","2,053.00","2,053.40","2,058.52","2,975.00","2,051.00",344034,"70,81,99,633.00",36533
29-Dec-2025,EQ,"2,080.30","2,088.70","2,063.00","2,087.40","2,069.90","2,070.10","2,070.67","2,975.00","2,063.00",262247,"54,30,27,459.80",16540
26-Dec-2025,EQ,"2,093.00","2,114.90","2,082.00","2,093.30","2,084.00","2,087.40","2,101.68","2,975.00","2,064.00",186844,"39,26,85,421.10",12149
24-Dec-2025,EQ,"2,106.20","2,112.00","2,088.10","2,106.20","2,090.00","2,093.30","2,100.39","2,975.00","2,064.00",112477,"23,62,45,470.90",10959
23-Dec-2025,EQ,"2,110.00","2,118.90","2,097.70","2,108.20","2,104.30","2,106.20","2,106.88","2,975.00","2,064.00",117770,"24,81,27,595.30",11007
22-Dec-2025,EQ,"2,111.10","2,113.90","2,090.20","2,111.10","2,108.40","2,108.20","2,103.86","2,975.00","2,064.00",172009,"36,18,82,086.70",16571
19-Dec-2025,EQ,"2,090.00","2,114.40","2,078.10","2,090.00","2,110.00","2,111.10","2,096.56","2,975.00","2,064.00",399228,"83,70,06,335.80",25648
18-Dec-2025,EQ,"2,095.70","2,095.70","2,064.00","2,087.40","2,087.30","2,090.00","2,081.47","2,975.00","2,064.00",225926,"47,02,58,600.40",18457
17-Dec-2025,EQ,"2,126.90","2,142.20","2,075.30","2,160.40","2,083.00","2,087.40","2,108.49","2,975.00","2,075.30",387671,"81,74,01,491.00",30046
16-Dec-2025,EQ,"2,160.00","2,193.80","2,153.10","2,164.40","2,158.00","2,160.40","2,169.41","2,975.00","2,096.20",355988,"77,22,82,381.30",26510
15-Dec-2025,EQ,"2,161.00","2,171.50","2,146.10","2,161.30","2,163.40","2,164.40","2,161.48","2,975.00","2,096.20",396185,"85,63,47,919.00",16779
12-Dec-2025,EQ,"2,154.50","2,168.80","2,141.80","2,154.10","2,153.60","2,161.30","2,156.58","2,975.00","2,096.20",248587,"53,60,96,684.80",25710
11-Dec-2025,EQ,"2,141.50","2,163.70","2,135.00","2,143.00","2,152.30","2,154.10","2,153.36","2,975.00","2,096.20",131300,"28,27,36,797.50",15529
10-Dec-2025,EQ,"2,169.00","2,175.00","2,138.30","2,158.90","2,146.00","2,143.00","2,147.61","2,975.00","2,096.20",218360,"46,89,51,078.90",22836
09-Dec-2025,EQ,"2,146.00","2,173.30","2,137.00","2,146.40","2,172.00","2,158.90","2,153.76","2,975.00","2,096.20",272053,"58,59,37,299.60",22831
08-Dec-2025,EQ,"2,150.10","2,172.60","2,133.70","2,164.40","2,146.80","2,146.40","2,151.29","2,975.00","2,096.20",398132,"85,64,99,295.10",26787
05-Dec-2025,EQ,"2,125.50","2,167.00","2,125.50","2,138.10","2,162.50","2,164.40","2,150.90","2,975.00","2,096.20",401612,"86,38,25,410.30",25637
04-Dec-2025,EQ,"2,101.90","2,140.80","2,096.20","2,101.90","2,136.50","2,138.10","2,122.53","2,975.00","2,096.20",529258,"1,12,33,63,473.10",28812
03-Dec-2025,EQ,"2,156.00","2,158.80","2,098.40","2,158.20","2,099.10","2,101.90","2,116.37","2,975.00","2,098.40",561527,"1,18,83,96,898.30",31904
02-Dec-2025,EQ,"2,136.00","2,160.80","2,136.00","2,152.90","2,156.00","2,158.20","2,154.08","2,975.00","2,136.00",296042,"63,76,99,350.90",17510
01-Dec-2025,EQ,"2,161.50","2,167.00","2,148.00","2,168.60","2,150.00","2,152.90","2,155.14","2,975.00","2,147.80",363407,"78,31,92,735.80",28687
28-Nov-2025,EQ,"2,171.30","2,175.20","2,162.20","2,171.30","2,167.00","2,168.60","2,167.55","3,115.00","2,147.80",120973,"26,22,15,619.80",12151
27-Nov-2025,EQ,"2,185.00","2,197.60","2,160.40","2,185.00","2,166.90","2,171.30","2,174.26","3,115.00","2,147.80",264052,"57,41,18,775.80",25747
26-Nov-2025,EQ,"2,167.70","2,189.00","2,160.60","2,167.70","2,181.00","2,185.00","2,177.41","3,115.00","2,147.80",457001,"99,50,79,125.40",19518
25-Nov-2025,EQ,"2,156.60","2,170.90","2,148.30","2,156.70","2,165.00","2,167.70","2,160.68","3,115.00","2,147.80",334902,"72,36,17,549.90",20156
24-Nov-2025,EQ,"2,180.60","2,205.00","2,147.80","2,180.60","2,150.30","2,156.70","2,158.67","3,115.00","2,147.80",1732504,"3,73,99,08,052.70",40202
